2021-03-10 at 11:01:40 | level:ERROR | process:28188 | file:custom_exception.py | module:core.custom_exception | line:94 | Request:{'url': URL('http://127.0.0.1:8090/'), 'method': 'GET', 'headers': Headers({'host': '127.0.0.1:8090', 'connection': 'keep-alive', 'upgrade-insecure-requests': '1', 'user-agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36', 'accept': 'text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.9', 'sec-fetch-site': 'none', 'sec-fetch-mode': 'navigate', 'sec-fetch-user': '?1', 'sec-fetch-dest': 'document', 'accept-encoding': 'gzip, deflate, br', 'accept-language': 'zh-CN,zh;q=0.9'}), 'body': b''}
2021-03-10 at 11:01:40 | level:ERROR | process:28188 | file:custom_exception.py | module:core.custom_exception | line:96 | Response:{'code': 404, 'msg': 'Not Found', 'success': False, 'data': None}
2021-03-10 at 11:01:40 | level:INFO | process:28188 | file:middware.py | module:core.middware | line:16 | Process-Time(s):0.001990795135498047
2021-03-10 at 11:01:40 | level:ERROR | process:28188 | file:custom_exception.py | module:core.custom_exception | line:94 | Request:{'url': URL('http://127.0.0.1:8090/'), 'method': 'GET', 'headers': Headers({'host': '127.0.0.1:8090', 'connection': 'keep-alive', 'upgrade-insecure-requests': '1', 'user-agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36', 'accept': 'text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.9', 'sec-fetch-site': 'none', 'sec-fetch-mode': 'navigate', 'sec-fetch-user': '?1', 'sec-fetch-dest': 'document', 'accept-encoding': 'gzip, deflate, br', 'accept-language': 'zh-CN,zh;q=0.9'}), 'body': b''}
2021-03-10 at 11:01:40 | level:ERROR | process:28188 | file:custom_exception.py | module:core.custom_exception | line:96 | Response:{'code': 404, 'msg': 'Not Found', 'success': False, 'data': None}
2021-03-10 at 11:01:40 | level:INFO | process:28188 | file:middware.py | module:core.middware | line:16 | Process-Time(s):0.0019943714141845703
2021-03-10 at 11:01:44 | level:INFO | process:1712 | file:middware.py | module:core.middware | line:16 | Process-Time(s):0.0009996891021728516
2021-03-10 at 11:01:46 | level:INFO | process:43172 | file:middware.py | module:core.middware | line:16 | Process-Time(s):0.009973287582397461
2021-03-10 at 11:01:53 | level:INFO | process:45636 | file:login.py | module:api.login | line:22 | Request:{'url': URL('http://127.0.0.1:8090/api/v1/login/access-token'), 'method': 'POST', 'headers': Headers({'host': '127.0.0.1:8090', 'connection': 'keep-alive', 'content-length': '67', 'accept': 'application/json, text/plain, */*', 'x-requested-with': 'XMLHttpRequest', 'authorization': 'Basic Og==', 'user-agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36', 'content-type': 'application/x-www-form-urlencoded', 'origin': 'http://127.0.0.1:8090', 'sec-fetch-site': 'same-origin', 'sec-fetch-mode': 'cors', 'sec-fetch-dest': 'empty', 'referer': 'http://127.0.0.1:8090/docs', 'accept-encoding': 'gzip, deflate, br', 'accept-language': 'zh-CN,zh;q=0.9'}), 'form': {'grant_type': 'password', 'username': 'skyful@163.com', 'password': 'skyful123456', 'scopes': [], 'client_id': None, 'client_secret': None}}
2021-03-10 at 11:01:53 | level:INFO | process:45636 | file:login.py | module:api.login | line:24 | Response:{'access_token': 'eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJza3lmdWxAMTYzLmNvbSIsImV4cCI6MTYxNTM0ODkxM30.rfumTCNOleKHvVbgI-hTqtElt73h4QIyffhk3fRA4j8', 'token_type': 'bearer'}
2021-03-10 at 11:01:53 | level:INFO | process:45636 | file:middware.py | module:core.middware | line:16 | Process-Time(s):0.2902240753173828
2021-03-10 at 11:01:59 | level:INFO | process:48444 | file:items.py | module:api.items | line:30 | Request:{'url': URL('http://127.0.0.1:8090/api/v1/items/?skip=0&limit=10'), 'method': 'GET', 'headers': Headers({'host': '127.0.0.1:8090', 'connection': 'keep-alive', 'accept': 'application/json', 'authorization': 'Bearer eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJza3lmdWxAMTYzLmNvbSIsImV4cCI6MTYxNTM0ODkxM30.rfumTCNOleKHvVbgI-hTqtElt73h4QIyffhk3fRA4j8', 'user-agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36', 'sec-fetch-site': 'same-origin', 'sec-fetch-mode': 'cors', 'sec-fetch-dest': 'empty', 'referer': 'http://127.0.0.1:8090/docs', 'accept-encoding': 'gzip, deflate, br', 'accept-language': 'zh-CN,zh;q=0.9'}), 'body': None, 'user': 'skyful'}
